Function,CrossingType,CrossingProb,Value mean,Value min,Value max,Value std
f4,COMPLEX_INTERMEDIATE,0.0,4583.32,3990.96,4925.32,275.81
f4,COMPLEX_INTERMEDIATE,0.25,1635.23,1253.14,1853.42,141.75
f4,COMPLEX_INTERMEDIATE,0.5,1084.82,949.63,1285.35,99.9
f4,COMPLEX_INTERMEDIATE,0.75,879.49,772.72,987.82,49.8
f4,COMPLEX_INTERMEDIATE,1.0,805.87,713.65,974.93,60.86
f4,SIMPLE_INTERMEDIATE,0.0,4624.46,4056.94,5158.2,289.9
f4,SIMPLE_INTERMEDIATE,0.25,4441.51,4018.2,4865.47,255.89
f4,SIMPLE_INTERMEDIATE,0.5,4525.34,3957.06,5049.8,284.58
f4,SIMPLE_INTERMEDIATE,0.75,4500.98,4084.37,5010.81,261.62
f4,SIMPLE_INTERMEDIATE,1.0,4481.78,3951.44,5028.04,286.95
f4,SINGLE_POINT,0.0,4540.43,3776.92,5207.58,352.89
f4,SINGLE_POINT,0.25,1550.47,1275.22,2120.62,204.97
f4,SINGLE_POINT,0.5,961.06,805.24,1139.27,82.65
f4,SINGLE_POINT,0.75,749.95,651.49,861.91,47.05
f4,SINGLE_POINT,1.0,668.62,566.38,800.69,46.97
f4,UNIFORM,0.0,4471.66,3895.22,5016.44,320.98
f4,UNIFORM,0.25,692.68,552.58,829.76,54.51
f4,UNIFORM,0.5,518.49,473.19,557.03,20.28
f4,UNIFORM,0.75,468.95,433.51,501.97,18.34
f4,UNIFORM,1.0,440.53,417.9,472.62,14.33
f9,COMPLEX_INTERMEDIATE,0.0,2613.28,1815.02,3348.09,393.99
f9,COMPLEX_INTERMEDIATE,0.25,1729.99,1457.84,1977.73,132.1
f9,COMPLEX_INTERMEDIATE,0.5,1728.12,1475.45,2025.31,129.97
f9,COMPLEX_INTERMEDIATE,0.75,1692.23,1521.47,1833.94,86.38
f9,COMPLEX_INTERMEDIATE,1.0,1704.48,1576.56,1881.86,83.51
f9,SIMPLE_INTERMEDIATE,0.0,2646.54,2049.07,3431.63,379.35
f9,SIMPLE_INTERMEDIATE,0.25,2474.72,2092.33,2956.91,236.03
f9,SIMPLE_INTERMEDIATE,0.5,2387.91,1953.93,2865.91,270.85
f9,SIMPLE_INTERMEDIATE,0.75,2269.17,1824.1,2668.4,218.02
f9,SIMPLE_INTERMEDIATE,1.0,2341.29,1887.23,3078.58,312.46
f9,SINGLE_POINT,0.0,2656.8,1811.5,3360.06,355.99
f9,SINGLE_POINT,0.25,1822.67,1547.08,2088.44,153.66
f9,SINGLE_POINT,0.5,1715.03,1533.84,2463.55,191.66
f9,SINGLE_POINT,0.75,1635.62,1445.64,1893.08,104.48
f9,SINGLE_POINT,1.0,1635.45,1473.8,1841.83,90.65
f9,UNIFORM,0.0,2682.85,2125.36,3231.74,337.36
f9,UNIFORM,0.25,1710.96,1496.95,1993.31,151.42
f9,UNIFORM,0.5,1619.38,1470.77,2027.58,114.91
f9,UNIFORM,0.75,1629.04,1435.51,2155.62,143.38
f9,UNIFORM,1.0,1631.01,1490.87,1943.76,109.37
